Gene stable ID,Gene description,Gene type,Gene name
ENSG00000306199,"novel transcript, antisense to PCM1",lncRNA,
ENSG00000170502,nudix hydrolase 9 [Source:HGNC Symbol;Acc:HGNC:8056],protein_coding,NUDT9
ENSG00000253470,novel transcript,lncRNA,
ENSG00000234452,SLC16A12 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51205],lncRNA,SLC16A12-AS1
ENSG00000225564,long intergenic non-protein coding RNA 1492 [Source:HGNC Symbol;Acc:HGNC:51149],lncRNA,LINC01492
ENSG00000254086,novel transcript,lncRNA,
ENSG00000307905,novel transcript,lncRNA,
ENSG00000307944,"novel transcript, antisense to PRIMA1",lncRNA,
ENSG00000299623,novel transcript,lncRNA,
ENSG00000215256,DHRS4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:23175],lncRNA,DHRS4-AS1
ENSG00000259876,"novel transcript, antisense to a novel protein",lncRNA,
ENSG00000274834,novel transcript,lncRNA,
ENSG00000287467,"novel transcript, sense intronic to SORBS3",lncRNA,
ENSG00000103381,calcineurin like phosphoesterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25632],protein_coding,CPPED1
ENSG00000299631,novel transcript,lncRNA,
ENSG00000227121,long intergenic non-protein coding RNA 2672 [Source:HGNC Symbol;Acc:HGNC:54159],lncRNA,LINC02672
ENSG00000306256,novel transcript,lncRNA,
ENSG00000238254,ribosomal protein L10 (RPL10) pseudogene,processed_pseudogene,
ENSG00000306289,novel transcript,lncRNA,
ENSG00000240611,ribosomal protein L6 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:36903],processed_pseudogene,RPL6P15
ENSG00000299688,novel transcript,lncRNA,
ENSG00000053108,follistatin like 4 [Source:HGNC Symbol;Acc:HGNC:21389],protein_coding,FSTL4
ENSG00000304786,"novel transcript, antisense to SPATA31A7",lncRNA,
ENSG00000253796,novel transcript,lncRNA,
ENSG00000290538,novel transcript,lncRNA,
ENSG00000299703,novel transcript,lncRNA,
ENSG00000264733,microRNA 4718 [Source:HGNC Symbol;Acc:HGNC:41900],miRNA,MIR4718
ENSG00000261158,"novel transcript, antisense to CPPED1",lncRNA,
ENSG00000304867,"novel transcript, antisense to SPAAR",lncRNA,
ENSG00000199474,,snoRNA,
ENSG00000241932,ribosomal protein L35a pseudogene 34 [Source:HGNC Symbol;Acc:HGNC:36324],processed_pseudogene,RPL35AP34
