Gene stable ID,Gene description,Gene type,Gene name
ENSG00000218454,heterogeneous nuclear ribonucleoprotein A1 pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:39537],processed_pseudogene,HNRNPA1P19
ENSG00000213671,OLA1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:45277],processed_pseudogene,OLA1P2
ENSG00000226549,stearoyl-CoA desaturase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10572],processed_pseudogene,SCDP1
ENSG00000169627,bolA family member 2B [Source:HGNC Symbol;Acc:HGNC:32479],protein_coding,BOLA2B
ENSG00000197948,FCH and double SH3 domains 1 [Source:HGNC Symbol;Acc:HGNC:25463],protein_coding,FCHSD1
ENSG00000264215,novel transcript,lncRNA,
ENSG00000264662,novel pseudogene,processed_pseudogene,
ENSG00000252483,"RNA, U6 small nuclear 1178, pseudogene [Source:HGNC Symbol;Acc:HGNC:48141]",snRNA,RNU6-1178P
ENSG00000265790,ribonuclease H1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10049],processed_pseudogene,RNASEH1P1
ENSG00000265099,novel pseudogene,processed_pseudogene,
ENSG00000244456,SPECC1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:53868],transcribed_unprocessed_pseudogene,SPECC1P2
ENSG00000226101,long intergenic non-protein coding RNA 2097 [Source:HGNC Symbol;Acc:HGNC:52948],lncRNA,LINC02097
ENSG00000213599,SLX1A-SULT1A3 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:44437],lncRNA,SLX1A-SULT1A3
ENSG00000253607,"novel transcript, antisense to DERL1",lncRNA,
ENSG00000125398,SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204],protein_coding,SOX9
ENSG00000066855,mitochondrial fission regulator 1 [Source:HGNC Symbol;Acc:HGNC:29510],protein_coding,MTFR1
ENSG00000201604,"RNA, U6 small nuclear 740, pseudogene [Source:HGNC Symbol;Acc:HGNC:47703]",snRNA,RNU6-740P
ENSG00000288605,novel transcript,lncRNA,
ENSG00000220585,DEAD-box helicase 18 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:31126],processed_pseudogene,DDX18P6
ENSG00000230166,ribosomal protein L35a pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:35544],processed_pseudogene,RPL35AP24
ENSG00000288603,"small nucleolar RNA, H/ACA box 74C-2 [Source:HGNC Symbol;Acc:HGNC:52218]",snoRNA,SNORA74C-2
ENSG00000222108,"RNA, 5S ribosomal pseudogene 317 [Source:HGNC Symbol;Acc:HGNC:43217]",rRNA_pseudogene,RNA5SP317
ENSG00000233917,POTE ankyrin domain family member B [Source:HGNC Symbol;Acc:HGNC:33734],protein_coding,POTEB
ENSG00000226631,solute carrier family 9 member 3 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:33492],processed_pseudogene,SLC9A3P3
ENSG00000100258,lipase maturation factor 2 [Source:HGNC Symbol;Acc:HGNC:25096],protein_coding,LMF2
ENSG00000099290,WASH complex subunit 2A [Source:HGNC Symbol;Acc:HGNC:23416],protein_coding,WASHC2A
ENSG00000185294,signal peptide peptidase like 2C [Source:HGNC Symbol;Acc:HGNC:28902],protein_coding,SPPL2C
ENSG00000148090,AU RNA binding methylglutaconyl-CoA hydratase [Source:HGNC Symbol;Acc:HGNC:890],protein_coding,AUH
ENSG00000279685,MAPT intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:43741],lncRNA,MAPT-IT1
ENSG00000251011,TMEM108 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50307],lncRNA,TMEM108-AS1
ENSG00000101680,laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481],protein_coding,LAMA1
ENSG00000262881,"novel transcript, antisense to MAPT",lncRNA,
ENSG00000234304,shugoshin 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:50777],processed_pseudogene,SGO1P2
ENSG00000274883,Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017],misc_RNA,Metazoa_SRP
ENSG00000182111,zinc finger protein 716 [Source:HGNC Symbol;Acc:HGNC:32458],protein_coding,ZNF716
ENSG00000256762,saitohin [Source:HGNC Symbol;Acc:HGNC:18839],protein_coding,STH
ENSG00000261734,novel transcript,lncRNA,
ENSG00000262372,"novel transcript, antisense to a novel protein",lncRNA,
ENSG00000271249,DIM1 dimethyladenosine transferase 1 homolog pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:52892],processed_pseudogene,DIMT1P1
ENSG00000158220,extended synaptotagmin 3 [Source:HGNC Symbol;Acc:HGNC:24295],protein_coding,ESYT3
ENSG00000238723,Y RNA [Source:RFAM;Acc:RF00019],misc_RNA,Y_RNA
ENSG00000277478,microRNA 6165 [Source:HGNC Symbol;Acc:HGNC:50197],miRNA,MIR6165
ENSG00000279326,tec,TEC,
ENSG00000289513,novel transcript,lncRNA,
ENSG00000243621,"pseudogene similar to part of adenosine deaminase, tRNA-specific 2, TAD2 homolog (S. cerevisiae) (ADAT2)",processed_pseudogene,
ENSG00000237064,eukaryotic translation initiation factor 3 subunit I pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:13277],processed_pseudogene,EIF3IP1
ENSG00000284987,novel transcript,protein_coding,
ENSG00000227945,PTPRK antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40484],lncRNA,PTPRK-AS1
ENSG00000217783,"lactate dehydrogenase A like 6F, pseudogene [Source:HGNC Symbol;Acc:HGNC:44240]",processed_pseudogene,LDHAL6FP
ENSG00000216444,retinoic acid early transcript 1M (pseudogene) [Source:HGNC Symbol;Acc:HGNC:16799],processed_pseudogene,RAET1M
ENSG00000229600,novel transcript,lncRNA,
ENSG00000111816,fyn related Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3955],protein_coding,FRK
ENSG00000307579,novel transcript,lncRNA,
ENSG00000307598,novel transcript,lncRNA,
ENSG00000307611,novel transcript,lncRNA,
ENSG00000102032,renin binding protein [Source:HGNC Symbol;Acc:HGNC:9959],protein_coding,RENBP
ENSG00000229425,novel transcript,lncRNA,
ENSG00000121067,speckle type BTB/POZ protein [Source:HGNC Symbol;Acc:HGNC:11254],protein_coding,SPOP
ENSG00000132669,Ras and Rab interactor 2 [Source:HGNC Symbol;Acc:HGNC:18750],protein_coding,RIN2
ENSG00000169217,CD2 cytoplasmic tail binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1656],protein_coding,CD2BP2
ENSG00000012124,CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643],protein_coding,CD22
ENSG00000219867,ras homologue gene family pseudogene,processed_pseudogene,
ENSG00000146469,vasoactive intestinal peptide [Source:HGNC Symbol;Acc:HGNC:12693],protein_coding,VIP
ENSG00000158435,CCR4-NOT transcription complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:25217],protein_coding,CNOT11
ENSG00000119125,guanine deaminase [Source:HGNC Symbol;Acc:HGNC:4212],protein_coding,GDA
ENSG00000281913,ribosomal protein L23a pseudogene 64 [Source:HGNC Symbol;Acc:HGNC:36552],processed_pseudogene,RPL23AP64
ENSG00000280582,"novel transcript, antisense to CCDC84",lncRNA,
ENSG00000254612,DNAJB6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54754],processed_pseudogene,DNAJB6P1
ENSG00000281697,potassium channel tetramerisation domain containing 6 (KCTD6) pseudogene,processed_pseudogene,
ENSG00000127990,sarcoglycan epsilon [Source:HGNC Symbol;Acc:HGNC:10808],protein_coding,SGCE
ENSG00000280831,ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:10413],protein_coding,RPS25
ENSG00000254591,HIG1 hypoxia inducible domain family (HIG1) pseudogene,processed_pseudogene,
ENSG00000255352,protein phosphatase 1 regulatory subunit 10 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16325],processed_pseudogene,PPP1R10P1
ENSG00000255537,"novel transcript, antisense to FEZ1",lncRNA,
ENSG00000197798,family with sequence similarity 118 member B [Source:HGNC Symbol;Acc:HGNC:26110],protein_coding,FAM118B
ENSG00000275582,"novel transcript, antisense to PANK2",lncRNA,
ENSG00000101236,ring finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13779],protein_coding,RNF24
ENSG00000137872,semaphorin 6D [Source:HGNC Symbol;Acc:HGNC:16770],protein_coding,SEMA6D
ENSG00000213130,eukaryotic translation elongation factor 1 delta pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:33524],processed_pseudogene,EEF1DP5
ENSG00000220733,MT-ND3 pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:52166],processed_pseudogene,MTND3P20
ENSG00000220557,high mobility group box 1 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:13318],processed_pseudogene,HMGB1P13
ENSG00000285954,novel transcript,lncRNA,
ENSG00000169221,TBC1 domain family member 10B [Source:HGNC Symbol;Acc:HGNC:24510],protein_coding,TBC1D10B
ENSG00000233333,"ring finger protein, transmembrane 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44388]",processed_pseudogene,RNFT1P2
ENSG00000154027,adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365],protein_coding,AK5
ENSG00000231368,ribosomal protein SA pseudogene 40 [Source:HGNC Symbol;Acc:HGNC:36828],processed_pseudogene,RPSAP40
ENSG00000216710,COX6A1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37633],processed_pseudogene,COX6A1P3
ENSG00000258515,"novel transcript, antisense to OSGEP",lncRNA,
ENSG00000198719,delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908],protein_coding,DLL1
ENSG00000100823,apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587],protein_coding,APEX1
ENSG00000168938,peptidylprolyl isomerase C [Source:HGNC Symbol;Acc:HGNC:9256],protein_coding,PPIC
ENSG00000115353,tachykinin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11526],protein_coding,TACR1
ENSG00000025770,non-SMC condensin II complex subunit H2 [Source:HGNC Symbol;Acc:HGNC:25071],protein_coding,NCAPH2
ENSG00000231143,novel transcript,lncRNA,
ENSG00000186231,kelch like family member 32 [Source:HGNC Symbol;Acc:HGNC:21221],protein_coding,KLHL32
ENSG00000251488,novel transcript,lncRNA,
ENSG00000250354,novel transcript,lncRNA,
ENSG00000279703,TEC,TEC,
ENSG00000250560,zinc finger protein 99 (ZNF99) pseudogene,processed_pseudogene,
ENSG00000113638,tetratricopeptide repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:29959],protein_coding,TTC33
ENSG00000280495,trafficking protein particle complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19943],protein_coding,TRAPPC4
ENSG00000250665,novel transcript,lncRNA,
ENSG00000286253,novel transcript,lncRNA,
ENSG00000172534,host cell factor C1 [Source:HGNC Symbol;Acc:HGNC:4839],protein_coding,HCFC1
ENSG00000248574,ADAM metallopeptidase domain 20 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:43901],processed_pseudogene,ADAM20P2
ENSG00000249542,eukaryotic translation elongation factor 1 alpha 1 pseudogene 21 [Source:HGNC Symbol;Acc:HGNC:37894],processed_pseudogene,EEF1A1P21
ENSG00000251061,long intergenic non-protein coding RNA 2512 [Source:HGNC Symbol;Acc:HGNC:53501],lncRNA,LINC02512
ENSG00000255000,zinc finger protein pseudogene,processed_pseudogene,
ENSG00000138032,"protein phosphatase, Mg2+/Mn2+ dependent 1B [Source:HGNC Symbol;Acc:HGNC:9276]",protein_coding,PPM1B
ENSG00000248912,novel transcript,lncRNA,
ENSG00000250563,lysine rich nucleolar protein 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:48923],processed_pseudogene,KNOP1P5
ENSG00000251123,chromosome 6 open reading frame 221 (C6orf221) pseudogene,processed_pseudogene,
ENSG00000253668,novel pseudogene,processed_pseudogene,
ENSG00000168785,tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753],protein_coding,TSPAN5
ENSG00000253841,Transmembrane protein C12orf67 pseudogene,processed_pseudogene,
ENSG00000164796,CUB and Sushi multiple domains 3 [Source:HGNC Symbol;Acc:HGNC:19291],protein_coding,CSMD3
ENSG00000307760,novel transcript,lncRNA,
ENSG00000307781,novel transcript,lncRNA,
ENSG00000307821,"novel transcript, sense intronic to C2CD2",lncRNA,
ENSG00000307843,novel transcript,lncRNA,
ENSG00000257528,keratin 8 pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:33371],processed_pseudogene,KRT8P19
ENSG00000230323,long intergenic non-protein coding RNA 159 [Source:HGNC Symbol;Acc:HGNC:1285],lncRNA,LINC00159
ENSG00000189182,keratin 77 [Source:HGNC Symbol;Acc:HGNC:20411],protein_coding,KRT77
ENSG00000226608,ferritin light chain pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:4000],processed_pseudogene,FTLP3
ENSG00000215063,ribosomal protein L21 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16539],processed_pseudogene,RPL21P2
ENSG00000180269,G protein-coupled receptor 139 [Source:HGNC Symbol;Acc:HGNC:19995],protein_coding,GPR139
ENSG00000088833,NSFL1 cofactor [Source:HGNC Symbol;Acc:HGNC:15912],protein_coding,NSFL1C
ENSG00000118007,STAG1 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11354],protein_coding,STAG1
ENSG00000213648,sulfotransferase family 1A member 4 [Source:HGNC Symbol;Acc:HGNC:30004],protein_coding,SULT1A4
ENSG00000308154,novel transcript,lncRNA,
ENSG00000226043,novel transcript,lncRNA,
ENSG00000231324,novel transcript,lncRNA,
ENSG00000308206,novel transcript,lncRNA,
ENSG00000224012,pseudogene similar to part of tropomyosin 2 (beta) TPM2,processed_pseudogene,
ENSG00000277991,novel transcript,lncRNA,
ENSG00000234108,COX6A1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:2278],processed_pseudogene,COX6A1P1
ENSG00000232676,ADH5 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:22976],processed_pseudogene,ADH5P2
ENSG00000213579,ribosomal protein L29 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:36786],processed_pseudogene,RPL29P5
ENSG00000137960,GIPC PDZ domain containing family member 2 [Source:HGNC Symbol;Acc:HGNC:18177],protein_coding,GIPC2
ENSG00000165810,butyrophilin like 9 [Source:HGNC Symbol;Acc:HGNC:24176],protein_coding,BTNL9
ENSG00000237852,novel transcript,lncRNA,
ENSG00000132855,angiopoietin like 3 [Source:HGNC Symbol;Acc:HGNC:491],protein_coding,ANGPTL3
ENSG00000139354,growth arrest specific 2 like 3 [Source:HGNC Symbol;Acc:HGNC:27475],protein_coding,GAS2L3
ENSG00000308244,novel transcript,lncRNA,
ENSG00000227039,ITGB2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44304],lncRNA,ITGB2-AS1
ENSG00000096968,Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192],protein_coding,JAK2
ENSG00000308272,"novel transcript, sense intronic to TIAM1",lncRNA,
ENSG00000308275,novel transcript,lncRNA,
ENSG00000233215,long intergenic non-protein coding RNA 1687 [Source:HGNC Symbol;Acc:HGNC:52474],lncRNA,LINC01687
ENSG00000289144,novel transcript,lncRNA,
ENSG00000308454,novel transcript,lncRNA,
ENSG00000236519,long intergenic non-protein coding RNA 1424 [Source:HGNC Symbol;Acc:HGNC:40558],lncRNA,LINC01424
ENSG00000248921,"ankyrin repeat, SAM and basic leucine zipper domain containing 1 (ASZ1) pseudogene",processed_pseudogene,
ENSG00000284918,microRNA 939 [Source:HGNC Symbol;Acc:HGNC:33682],miRNA,MIR939
ENSG00000285207,microRNA 1234 [Source:HGNC Symbol;Acc:HGNC:33926],miRNA,MIR1234
ENSG00000285088,microRNA 6849 [Source:HGNC Symbol;Acc:HGNC:49991],miRNA,MIR6849
ENSG00000284888,"novel transcript, antisense to SLC39A4",lncRNA,
ENSG00000286711,novel transcript,lncRNA,
ENSG00000249419,novel transcript,lncRNA,
ENSG00000270549,ubiquitin A-52 residue ribosomal protein fusion product 1 (UBA52) pseudogene,processed_pseudogene,
ENSG00000285243,solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129],protein_coding,SLC39A4
ENSG00000237163,novel pseudogene,processed_pseudogene,
ENSG00000289221,novel transcript,lncRNA,
ENSG00000229636,keratin 8 pseudogene 21 [Source:HGNC Symbol;Acc:HGNC:33373],processed_pseudogene,KRT8P21
ENSG00000308572,novel transcript,lncRNA,
ENSG00000052795,folliculin interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:29280],protein_coding,FNIP2
ENSG00000183250,long intergenic non-protein coding RNA 1547 [Source:HGNC Symbol;Acc:HGNC:15707],lncRNA,LINC01547
ENSG00000116675,DnaJ heat shock protein family (Hsp40) member C6 [Source:HGNC Symbol;Acc:HGNC:15469],protein_coding,DNAJC6
ENSG00000155846,PPARG coactivator 1 beta [Source:HGNC Symbol;Acc:HGNC:30022],protein_coding,PPARGC1B
ENSG00000257467,PPFIA2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53397],lncRNA,PPFIA2-AS1
ENSG00000276413,cullin 2 (CUL2) pseudogene,processed_pseudogene,
ENSG00000286553,"novel transcript, antisense to CNKSR3",lncRNA,
ENSG00000217648,PARL pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:56486],processed_pseudogene,PARLP2
ENSG00000083123,branched chain keto acid dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:987],protein_coding,BCKDHB
ENSG00000280385,novel transcript,TEC,
ENSG00000154143,pannexin 3 [Source:HGNC Symbol;Acc:HGNC:20573],protein_coding,PANX3
ENSG00000308652,novel transcript,lncRNA,
ENSG00000308668,novel transcript,lncRNA,
ENSG00000153487,inhibitor of growth family member 1 [Source:HGNC Symbol;Acc:HGNC:6062],protein_coding,ING1
ENSG00000226115,novel transcript,lncRNA,
ENSG00000308804,novel transcript,lncRNA,
ENSG00000308817,novel transcript,lncRNA,
ENSG00000284577,,miRNA,
ENSG00000177143,centrin 1 [Source:HGNC Symbol;Acc:HGNC:1866],protein_coding,CETN1
ENSG00000308873,novel transcript,lncRNA,
ENSG00000281860,HYOU1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56704],lncRNA,HYOU1-AS1
ENSG00000309000,novel transcript,lncRNA,
ENSG00000292434,KCNJ6 antisense RNA 1 [Source:NCBI gene (formerly Entrezgene);Acc:105372799],lncRNA,KCNJ6-AS1
ENSG00000280682,hypoxia up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:16931],protein_coding,HYOU1
ENSG00000286717,"novel transcript, antisense to KCNJ6",lncRNA,
ENSG00000222174,RN7SK pseudogene 146 [Source:HGNC Symbol;Acc:HGNC:45870],misc_RNA,RN7SKP146
ENSG00000288533,"novel transcript, antisense to TYMS and CLUL1",lncRNA,
ENSG00000266456,"novel transcript, antisense to C18orf56",lncRNA,
ENSG00000309128,"novel transcript, antisense to KCNJ6",lncRNA,
ENSG00000263727,novel transcript,lncRNA,
ENSG00000309141,novel transcript,lncRNA,
ENSG00000255006,elongin C pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:38158],processed_pseudogene,ELOCP22
ENSG00000176890,thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441],protein_coding,TYMS
ENSG00000309159,novel transcript,lncRNA,
ENSG00000184809,B3GALT5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:16424],lncRNA,B3GALT5-AS1
ENSG00000110172,cysteine and histidine rich domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14525],protein_coding,CHORDC1
ENSG00000177854,transmembrane protein 187 [Source:HGNC Symbol;Acc:HGNC:13705],protein_coding,TMEM187
ENSG00000136153,LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:6646],protein_coding,LMO7
ENSG00000090863,golgi glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:4316],protein_coding,GLG1
ENSG00000265176,microRNA 3202-1 [Source:HGNC Symbol;Acc:HGNC:38224],miRNA,MIR3202-1
ENSG00000283694,microRNA 3202-2 [Source:HGNC Symbol;Acc:HGNC:38228],miRNA,MIR3202-2
ENSG00000284286,microRNA 718 [Source:HGNC Symbol;Acc:HGNC:37317],miRNA,MIR718
ENSG00000202024,"RNA, U6 small nuclear 934, pseudogene [Source:HGNC Symbol;Acc:HGNC:47897]",snRNA,RNU6-934P
ENSG00000126953,translocase of inner mitochondrial membrane 8A [Source:HGNC Symbol;Acc:HGNC:11817],protein_coding,TIMM8A
ENSG00000164128,neuropeptide Y receptor Y1 [Source:HGNC Symbol;Acc:HGNC:7956],protein_coding,NPY1R
ENSG00000309180,novel transcript,lncRNA,
ENSG00000309268,"novel transcript, antisense to DYRK1A",lncRNA,
ENSG00000309377,novel transcript,lncRNA,
ENSG00000064115,transmembrane 7 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:23049],protein_coding,TM7SF3
ENSG00000226527,novel transcript,lncRNA,
ENSG00000241343,ribosomal protein L36a [Source:HGNC Symbol;Acc:HGNC:10359],protein_coding,RPL36A
ENSG00000214330,ATP binding cassette subfamily D member 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:42662],unprocessed_pseudogene,ABCD1P5
ENSG00000135972,mitochondrial ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:14501],protein_coding,MRPS9
ENSG00000233997,long intergenic non-protein coding RNA 1425 [Source:HGNC Symbol;Acc:HGNC:50733],lncRNA,LINC01425
ENSG00000228592,novel transcript,lncRNA,
ENSG00000275419,"La ribonucleoprotein domain family, member 7 (LARP7) pseudogene",processed_pseudogene,
ENSG00000162433,adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363],protein_coding,AK4
ENSG00000220370,ribosomal protein (RPL7A) pseudogene,processed_pseudogene,
ENSG00000220730,H3 histone pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:54460],processed_pseudogene,H3P27
ENSG00000112706,interphotoreceptor matrix proteoglycan 1 [Source:HGNC Symbol;Acc:HGNC:6055],protein_coding,IMPG1
ENSG00000171222,SCAN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:10566],protein_coding,SCAND1
ENSG00000198498,translation machinery associated 16 homolog [Source:HGNC Symbol;Acc:HGNC:25638],protein_coding,TMA16
ENSG00000101336,"HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]",protein_coding,HCK
ENSG00000257529,RPL36A-HNRNPH2 readthrough [Source:HGNC Symbol;Acc:HGNC:48349],protein_coding,RPL36A-HNRNPH2
ENSG00000157884,calcium and integrin binding family member 4 [Source:HGNC Symbol;Acc:HGNC:33703],protein_coding,CIB4
ENSG00000285339,VPS28 subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:18178],protein_coding,VPS28
ENSG00000126945,heterogeneous nuclear ribonucleoprotein H2 [Source:HGNC Symbol;Acc:HGNC:5042],protein_coding,HNRNPH2
ENSG00000262919,cyclin Q [Source:HGNC Symbol;Acc:HGNC:28434],protein_coding,CCNQ
ENSG00000309574,"novel transcript, antisense to PDXK",lncRNA,
ENSG00000229356,LRRC3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:43636],lncRNA,LRRC3-DT
ENSG00000289927,"novel transcript, sense intronic to KCNJ15",lncRNA,
ENSG00000213625,leptin receptor overlapping transcript [Source:HGNC Symbol;Acc:HGNC:29477],protein_coding,LEPROT
ENSG00000185433,long intergenic non-protein coding RNA 158 [Source:HGNC Symbol;Acc:HGNC:1283],lncRNA,LINC00158
ENSG00000165091,transmembrane channel like 1 [Source:HGNC Symbol;Acc:HGNC:16513],protein_coding,TMC1
ENSG00000214602,CTBP2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:45197],processed_pseudogene,CTBP2P5
ENSG00000284194,synthesis of cytochrome C oxidase 2 [Source:HGNC Symbol;Acc:HGNC:10604],protein_coding,SCO2
ENSG00000132199,enolase superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:30365],protein_coding,ENOSF1
ENSG00000203643,novel transcript,lncRNA,
ENSG00000271707,ATPase Na+/K+ transporting subunit beta 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:807],processed_pseudogene,ATP1B3P1
ENSG00000236090,lactate dehydrogenase A pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:6538],processed_pseudogene,LDHAP3
ENSG00000230118,ribosomal protein L15 (RPL15) pseudogene,processed_pseudogene,
ENSG00000236969,gamma-glutamyltransferase 8 pseudogene [Source:HGNC Symbol;Acc:HGNC:33438],unprocessed_pseudogene,GGT8P
ENSG00000233664,NADH:ubiquinone oxidoreductase subunit S5 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44041],processed_pseudogene,NDUFS5P3
ENSG00000233716,MTFR2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54773],processed_pseudogene,MTFR2P1
ENSG00000225444,long intergenic non-protein coding RNA 1867 [Source:HGNC Symbol;Acc:HGNC:52687],lncRNA,LINC01867
ENSG00000309814,novel transcript,lncRNA,
ENSG00000158966,cache domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29314],protein_coding,CACHD1
ENSG00000309886,novel transcript,lncRNA,
ENSG00000270696,"novel transcript, antisense to C2orf3",lncRNA,
ENSG00000025708,thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148],protein_coding,TYMP
ENSG00000237232,ZNF295 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:23130],lncRNA,ZNF295-AS1
ENSG00000237320,novel transcript,lncRNA,
ENSG00000228209,PNP pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54649],processed_pseudogene,PNPP1
ENSG00000232144,phosphoserine aminotransferase 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:43988],processed_pseudogene,PSAT1P2
ENSG00000115616,solute carrier family 9 member A2 [Source:HGNC Symbol;Acc:HGNC:11072],protein_coding,SLC9A2
ENSG00000249568,novel transcript,lncRNA,
ENSG00000251174,tRNA splicing endonuclease subunit 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43965],processed_pseudogene,TSEN2P1
ENSG00000220237,ribosomal protein S24 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:35623],processed_pseudogene,RPS24P12
ENSG00000218428,NIP7 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:45182],processed_pseudogene,NIP7P3
ENSG00000271382,novel transcript,lncRNA,
ENSG00000112031,mitochondrial translation release factor 1 like [Source:HGNC Symbol;Acc:HGNC:21051],protein_coding,MTRF1L
ENSG00000243071,ribosomal protein L21 pseudogene 98 [Source:HGNC Symbol;Acc:HGNC:36397],processed_pseudogene,RPL21P98
ENSG00000242850,ribosomal protein L23a pseudogene 68 [Source:HGNC Symbol;Acc:HGNC:35489],processed_pseudogene,RPL23AP68
ENSG00000163110,PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468],protein_coding,PDLIM5
ENSG00000289322,novel transcript,lncRNA,
ENSG00000230978,long intergenic non-protein coding RNA 160 [Source:HGNC Symbol;Acc:HGNC:1294],lncRNA,LINC00160
ENSG00000166226,chaperonin containing TCP1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:1615],protein_coding,CCT2
ENSG00000309985,novel transcript,lncRNA,
ENSG00000310082,novel transcript,lncRNA,
ENSG00000258908,novel transcript,lncRNA,
ENSG00000249792,novel transcript,lncRNA,
ENSG00000258456,pentatricopeptide repeat domain 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31718],processed_pseudogene,PTCD2P1
ENSG00000310147,"novel transcript, sense intronic to GATD3",lncRNA,
