cl_id	cl_name	cl_idx
CL:0000961	Bm1 B cell	962
CL:0000962	Bm2 B cell	963
CL:0000963	Bm3-delta B cell	964
CL:0000964	Bm2' B cell	965
CL:0000965	Bm3 B cell	966
CL:0000966	Bm4 B cell	967
CL:0000967	Bm5 B cell	968
CL:0000968	Be cell	-969
CL:0000969	regulatory B cell	970
CL:0000970	unswitched memory B cell	-971
CL:0000971	IgM memory B cell	972
CL:0000972	class switched memory B cell	-973
CL:0000973	IgA memory B cell	974
CL:0000974	long lived plasma cell	-975
CL:0000975	short lived plasma cell	-976
CL:0000976	IgA short lived plasma cell	977
CL:0000977	IgG short lived plasma cell	978
CL:0000978	IgM short lived plasma cell	979
CL:0000979	IgG memory B cell	-980
CL:0000980	plasmablast	-981
CL:0000981	double negative memory B cell	-982
CL:0000982	IgG plasmablast	983
CL:0000983	IgM plasmablast	984
CL:0000984	IgA plasmablast	985
CL:0000985	IgG plasma cell	986
CL:0000986	IgM plasma cell	987
CL:0000987	IgA plasma cell	988
CL:0000988	hematopoietic cell	-989
CL:0000989	CD11c-low plasmacytoid dendritic cell	-990
CL:0000990	conventional dendritic cell	-991
CL:0000991	CD11c-negative plasmacytoid dendritic cell	-992
CL:0000992	immature CD11c-low plasmacytoid dendritic cell	993
CL:0000993	mature CD11c-low plasmacytoid dendritic cell	994
CL:0000994	immature CD11c-negative plasmacytoid dendritic cell	995
CL:0000995	CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor	-996
CL:0000996	mature CD11c-negative plasmacytoid dendritic cell	997
CL:0000997	immature CD8-alpha-negative CD11b-positive dendritic cell	998
CL:0000998	CD8-alpha-negative CD11b-negative dendritic cell	-999
CL:0000999	CD4-positive CD11b-positive dendritic cell	-1000
CL:0001000	CD8-alpha-positive CD11b-negative dendritic cell	-1001
CL:0001001	immature CD8-alpha-negative CD11b-negative dendritic cell	1002
CL:0001002	mature CD8-alpha-negative CD11b-negative dendritic cell	1003
CL:0001003	mature CD8-alpha-negative CD11b-positive dendritic cell	1004
CL:0001004	immature CD8-alpha-positive CD11b-negative dendritic cell	1005
CL:0001005	mature CD8-alpha-positive CD11b-negative dendritic cell	1006
CL:0001006	dermal dendritic cell	-1007
CL:0001007	interstitial dendritic cell	-1008
CL:0001008	Kit and Sca1-positive hematopoietic stem cell	-1009
CL:0001009	immature dermal dendritic cell	-1010
CL:0001010	mature dermal dendritic cell	-1011
CL:0001011	immature interstitial dendritic cell	1012
CL:0001012	CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor	-1013
CL:0001013	mature interstitial dendritic cell	1014
CL:0001014	CD1a-positive Langerhans cell	-1015
CL:0001015	CD8-alpha-low Langerhans cell	-1016
CL:0001016	immature CD1a-positive Langerhans cell	1017
CL:0001017	mature CD1a-positive Langerhans cell	1018
CL:0001018	immature CD8-alpha-low Langerhans cell	1019
CL:0001019	CD115-positive monocyte OR common dendritic progenitor	-1020
CL:0001020	mature CD8-alpha-low Langerhans cell	1021
CL:0001021	CD34-positive, CD38-positive common lymphoid progenitor	1022
CL:0001022	CD115-positive monocyte	-1023
CL:0001023	Kit-positive, CD34-positive common myeloid progenitor	1024
CL:0001024	CD34-positive, CD38-negative hematopoietic stem cell	1025
